Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
TM Dilshan (SL),9,9,1,500,144,62.5,551,90.74,2,2,0,61,4
SR Tendulkar (INDIA),9,9,0,482,120,53.55,524,91.98,2,2,0,52,8
KC Sangakkara (SL),9,8,3,465,111,93.0,555,83.78,1,3,0,44,5
IJL Trott (ENG),7,7,0,422,92,60.28,522,80.84,0,5,0,28,0
WU Tharanga (SL),9,9,2,395,133,56.42,472,83.68,2,1,0,52,2
G Gambhir (INDIA),9,9,0,393,97,43.66,462,85.06,0,4,0,37,0
V Sehwag (INDIA),8,8,0,380,175,47.5,310,122.58,1,1,1,49,7
Yuvraj Singh (INDIA),9,8,4,362,113,90.5,420,86.19,1,4,1,39,3
AB de Villiers (SA),5,5,1,353,134,88.25,326,108.28,2,1,0,31,7
AJ Strauss (ENG),7,7,0,334,158,47.71,357,93.55,1,1,1,34,3
BJ Haddin (AUS),7,6,0,332,88,55.33,421,78.85,0,4,0,40,5
LRPL Taylor (NZ),8,6,1,324,131*,64.8,372,87.09,1,1,0,20,14
RN ten Doeschate (NL),6,6,1,307,119,61.4,344,89.24,2,1,0,26,5
HM Amla (SA),7,7,0,306,113,43.71,349,87.67,1,2,0,25,1
DPMD Jayawardene (SL),9,7,1,304,103*,50.66,304,100.0,2,1,0,32,1
DS Smith (WI),7,7,0,300,107,42.85,391,76.72,1,2,0,32,2
SR Watson (AUS),7,6,0,290,94,48.33,314,92.35,0,3,0,32,7
V Kohli (INDIA),9,9,1,282,100*,35.25,343,82.21,1,1,0,24,2
MJ Guptill (NZ),8,8,2,262,86*,43.66,382,68.58,0,2,0,27,4
BB McCullum (NZ),8,8,2,256,101,42.66,277,92.41,1,1,0,28,6
Misbah-ul-Haq (PAK),8,6,1,248,83*,49.6,336,73.8,0,3,1,13,3
IR Bell (ENG),7,7,0,245,81,35.0,307,79.8,0,2,0,16,2
CO Obuya (KENYA),6,6,1,243,98*,48.6,347,70.02,0,2,0,21,7
MS Dhoni (INDIA),9,8,3,241,91*,48.2,295,81.69,0,1,0,19,3
Umar Akmal (PAK),7,6,1,240,71,48.0,276,86.95,0,1,0,21,5
MJ Clarke (AUS),7,6,3,233,93,77.66,256,91.01,0,2,0,20,1
CR Ervine (ZIM),6,6,0,231,85,38.5,269,85.87,0,3,1,24,3
A Bagai (CAN),6,6,1,225,84,45.0,322,69.87,0,2,1,27,0
JH Kallis (SA),7,7,0,225,69,32.14,309,72.81,0,2,0,18,1
JP Duminy (SA),7,7,1,224,99,37.33,229,97.81,0,1,1,12,6
AS Hansra (CAN),6,6,1,215,70*,43.0,373,57.64,0,2,0,16,5
Mohammad Hafeez (PAK),8,8,1,215,61*,30.71,265,81.13,0,1,0,32,1
Kamran Akmal (PAK),8,7,1,207,55,34.5,278,74.46,0,1,0,28,0
RT Ponting (AUS),7,6,0,206,104,34.33,284,72.53,1,0,0,15,1
NJ O'Brien (IRE),6,6,1,205,57*,41.0,271,75.64,0,1,0,17,2
KJ O'Brien (IRE),6,6,1,198,113,39.6,158,125.31,1,0,0,19,9
T Taibu (ZIM),6,6,0,189,98,31.5,243,77.77,0,2,0,20,0
Imrul Kayes (BDESH),6,6,1,188,73*,37.6,277,67.87,0,2,0,21,0
Younis Khan (PAK),8,7,1,185,72,30.83,261,70.88,0,2,1,11,0
JD Ryder (NZ),7,5,0,184,83,36.8,265,69.43,0,1,0,21,0
GC Smith (SA),7,7,0,183,45,26.14,300,61.0,0,0,0,13,0
KA Pollard (WI),7,6,0,180,94,30.0,120,150.0,0,2,1,14,11
WTS Porterfield (IRE),6,6,0,180,75,30.0,270,66.66,0,2,1,21,1
EC Joyce (IRE),6,6,0,176,84,29.33,264,66.66,0,1,0,18,0
TLW Cooper (NL),6,6,1,174,55*,34.8,259,67.18,0,1,0,18,0
PW Borren (NL),6,6,1,173,84,34.6,192,90.1,0,1,0,18,2
CH Gayle (WI),5,5,1,170,80,42.5,179,94.97,0,1,0,23,3
BRM Taylor (ZIM),6,6,0,170,80,28.33,195,87.17,0,1,1,20,1
F du Plessis (SA),7,6,2,159,52,39.75,189,84.12,0,1,0,10,3
